system   D            wsystem.c:583  maybe_parent_dir                 [   0.00094] Also searching C:\Users\crape\Desktop\Programmeren\Project_Github\SlimeVolley\
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09081] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09082] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09083] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09084] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09084] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09092] added dtor for object 00A6E720, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09099] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09104] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09203] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09205] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09205] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09206] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09207] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09208] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09208] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09209] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09210] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09211] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09211] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09212] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09213] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09221] added dtor for object 00A6E5F8, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09235] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09236] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09361] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09363] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09364] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09364] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09365] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09366] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09366] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09367] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09368] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09369] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09369] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09370] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09371] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09380] added dtor for object 00A6EE08, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09392] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09393] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09487] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09488] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09489] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09490] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09491] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09493] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09494] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09495] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09495] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09496] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09497] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09498] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09499] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09508] added dtor for object 00A6EF08, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09519] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09521] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09604] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09606] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09606] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09607] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09608] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09609] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09609] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09610] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09611] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09612] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09612] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09613] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09614] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09621] added dtor for object 06F36EC8, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09631] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09632] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09716] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09718] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09719] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09720] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09720] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09721] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09722] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09723] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09724] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09724] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09725] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09726] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09727] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09737] added dtor for object 06F57978, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09746] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09747] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09826] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09827] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09828] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09829] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09830] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09830] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09831] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09832] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09833] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09833] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09834] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09835] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09836] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09843] added dtor for object 06F5D368, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09853] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09854] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09928] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09929] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09930] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09931] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09931] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09932] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09933] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09933] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09934] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09935] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09936] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09937] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09937] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09945] added dtor for object 06F60578, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09955] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09956] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10028] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10029] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10030] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10031] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10032] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10033] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10034] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10035] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10036] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10037] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10038] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10039] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10039] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10047] added dtor for object 06F5ED78, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10055] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10057] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10379] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10381] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10382] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10383] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10384] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10384] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10385] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10386] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10387] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10388] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10388] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10390] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10391] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10401] added dtor for object 06F60178, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10414] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10416] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10501] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10503] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10504] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10504] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10505] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10506] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10506] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10507] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10508] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10509] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10510] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10512] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10513] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10521] added dtor for object 06F5F178, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10531] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10533] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10585] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10587] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10587] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10588] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10589] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10590] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10590] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10591] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10592] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10592] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10593] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10594] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10595] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10601] added dtor for object 06F5EF78, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10964] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10967] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.11067] removed dtor for object 06F5EF78
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   0.11069] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.11127] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.11129] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.11130] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.11131] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.11132] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.11133] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.11134] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.11134] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.11135] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.11136] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.11137] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.11138] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.11138] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.11152] added dtor for object 06F5FE78, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11301] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11302] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.11439] removed dtor for object 06F5FE78
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   0.11441] d3d_destroy_bitmap: Release video texture failed.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.11833] Font ./assets/fonts/digital.ttf loaded with pixel size 0 x 26.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.11838]     ascent=19.0, descent=4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.11841] added dtor for object 06F89BC8, func 71121B36
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12060] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12064] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12107] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12109] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12261] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12264] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12424] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12426] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12587] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12590] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12643] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12646] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12692] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12694] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12745] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12747] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12792] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12793] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12844] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12847] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12892] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12894] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12946] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12948] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12993] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12995] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.13044] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.13047] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.13090] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.13093] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.13143] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.13145] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.13190] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.13192] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.13239] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.13240] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16620] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16622] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16623] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16624] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16625] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16626] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16627] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16628] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16629] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.16630] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.16631] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.16632] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.16633] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.16673] Glyph 54: 12x19 (12x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.16684] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.16687] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.16780] Glyph 76: 4x19 (4x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.16787] Glyph 81: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.16793] Glyph 74: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.16797] Glyph 79: 13x19 (16x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.16802] Glyph 72: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.16808] Glyph 83: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.16815] Glyph 68: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.16820] Glyph 92: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.16827] Glyph 85: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.16856] Glyph 48: 12x19 (12x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.16911] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.16915] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.17038] Glyph 88: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.17045] Glyph 87: 13x19 (16x20)
